covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),hazard_ratio,hr_ci_lower,hr_ci_upper
cumulative_peer_wd,-0.003167803964474663,0.9968372082325546,0.009237917566153614,-0.021273789686285658,0.01493818175733633,0.9789509012145106,1.0150503140495442,0.0,-0.34291320979968865,0.7316637536719353,0.4507473047938972,0.9968372082325546,0.978950575509915,1.0150506517648084
mw1_log,-0.01387014821232417,0.9862255991057024,0.012973068076259423,-0.039296894410778965,0.011556597986130625,0.9614652131194429,1.0116236334497215,0.0,-1.0691494202290046,0.2850023458006151,1.81095430101003,0.9862255991057024,0.9614647638931817,1.0116241061117675
q_year,0.0019209084248731725,1.0019227545513523,0.00016453686618702536,0.0015984220930175166,0.002243394756728828,1.0015997002505324,1.0022459130495691,0.0,11.674638452696183,1.7179457224376704e-31,102.1990864854783,1.0019227545513523,1.0015996943151817,1.002245918988749
type_Gas,-0.5846862722106071,0.5572806688221327,0.07388018875201781,-0.7294887813355833,-0.439883763085631,0.48215541394335654,0.6441112862404325,0.0,-7.91397913415101,2.4929009902744393e-15,48.5110958383858,0.5572806688221327,0.4821541310119657,0.6441130001126886
type_Other,-0.2937804474379251,0.7454401367701572,0.07502268025836338,-0.44082219876798145,-0.14673869610786874,0.6435071127593356,0.8635195889679762,0.0,-3.915888454347444,9.00718886773207e-05,13.43856356144919,0.7454401367701572,0.643505374020694,0.8635219221806234
type_Solar,0.05507130094781177,1.05661594970842,0.05157721067615926,-0.04601817440049515,0.1561607762961187,0.9550246050333325,1.1690141377449224,0.0,1.067744847498463,0.28563562249920227,1.8077521813531319,1.05661594970842,0.9550228310032727,1.1690163092806736
type_Solar+Battery,-0.15795742073130575,0.853886139041796,0.06777502021919751,-0.29079401941240685,-0.02512082205020466,0.7476696675955716,0.9751920802036611,0.0,-2.3306141439787242,0.019773714999330012,5.660272245990932,0.853886139041796,0.7476678425746259,0.9751944606002371
type_Wind,-0.34324381181374464,0.7094652144709697,0.0712705940541896,-0.48293160931673074,-0.2035560143107585,0.6169720170685085,0.8158245051954246,0.0,-4.816064975588165,1.4641686429281714e-06,19.381486836532854,0.7094652144709697,0.6169704334000987,0.8158265992917165
entity_ERCOT,-0.8524444276599458,0.42637142297749386,0.0870591584618851,-1.023077242769606,-0.6818116125502856,0.35948700756376983,0.5057000295055297,0.0,-9.791553728757323,1.2240034095196957e-22,72.79081051079018,0.42637142297749386,0.3594858804027838,0.5057016151181364
entity_ISO-NE,-0.2557249366708277,0.7743549361478486,0.08979248590395,-0.4317149751248902,-0.07973489821676519,0.6493944438797813,0.9233610986168891,0.0,-2.8479547491799453,0.004400118048021061,7.828242055228057,0.7743549361478486,0.6493923437950041,0.9233640846954988
entity_PJM,-0.005139929584921567,0.9948732572503386,0.046470380328451244,-0.09622020137656462,0.08594034220672148,0.908263993065287,1.0897413148037813,0.0,-0.11060657452322747,0.9119283337642523,0.1330076439463473,0.9948732572503386,0.9082624729486003,1.0897431386531709
entity_PSCo,0.5890463295927014,1.8022688251224905,0.08175923571812624,0.4288011721816532,0.7492914870037497,1.535415720687926,2.1155006258194975,0.0,7.204645743307851,5.819494803639317e-13,40.64417131681438,1.8022688251224905,1.5354111995148574,2.115506855124363
entity_SOCO,0.7979075901920676,2.220889053337563,0.060665110401495075,0.679006158686991,0.9168090216971442,1.971916985490275,2.5012960603959167,0.0,13.152660316800533,1.642906907185671e-39,128.83894496611742,2.220889053337563,1.971912677089343,2.5013015254382602
