feature,importance,perm_importance_mean,perm_importance_std,shap_mean_abs
peer_wd_count,0.42869448626312745,0.17977415490000972,0.0030624248542008925,0.7317404348883046
mw1_log,0.08126098935975873,0.12594512244236442,0.0025950956953281657,0.5762288236498293
q_year,0.21415122114434237,0.08671791581238658,0.0018359340282367005,0.4529798019423265
poi_depth,0.1022168631394915,0.03248540275644631,0.00043604362479080064,0.16370395800515533
type_Gas,0.004355416919162071,0.0047068601421919485,0.00042813592430414473,0.07930411353224437
region_SPP,0.002748087310948853,0.004732798086153312,0.0004430470966388795,0.07739267341945541
type_Solar,0.005454905715037106,0.004025663225421217,0.00044233125382737905,0.06578075526090067
type_Other,0.004655714069849403,0.0057988204224048824,0.0005086849095470646,0.06482971927031926
type_Solar+Battery,0.009463676557630755,0.012523833778940152,0.0005578567687941535,0.05894710714023755
region_ERCOT,0.01328151996576249,0.0048716391241224845,0.00039496686894666095,0.05619419343813784
poi_type_diversity,0.023564908488243844,0.00750254153561426,0.0004053071970261564,0.05572766391995785
region_ISO-NE,0.005085934753945396,0.0042233453947482565,0.00021277043868021432,0.053598520103579864
entity_SPP,0.002280763368936538,0.004433631152615358,0.00043577718883729025,0.05331090703501204
region_MISO,0.008092841368683027,0.0013289941293502694,0.0002618319796638398,0.04493813122892094
entity_Other,0.006604142803273638,0.0033588995382314857,0.00048160802098677527,0.040791559224064404
type_Hydro,0.00040901011589356684,0.000764095765482109,0.00015061815232583764,0.039988737806635775
region_Southeast,0.009489489080927494,0.0025985151968769492,0.00021411792410310035,0.03277485768248491
entity_ERCOT,0.005909022520079716,0.002278156802026998,0.00023916337643527938,0.0294198311818103
type_Coal,0.0017440259484827316,0.0016127223478861307,0.0001303511953439079,0.022548876342847017
type_Wind,0.0026510251647369047,0.0017830890893546058,0.00037411402000049105,0.02208837063433448
region_PJM,0.008386182427684035,0.0015959248267345516,0.00014700826731520622,0.02029834722804118
region_West,0.0044605560863625006,0.0008796604385456153,8.569022033157937e-05,0.01685692069191854
entity_MISO,0.0018698450804666878,0.0012093475901618135,0.00015135275299268011,0.01334267154249552
entity_SOCO,0.011264681545498787,0.0028251735571341195,0.00015822734196822366,0.013319709184554551
entity_PacifiCorp,0.0076060254951012376,0.0012540294322391343,0.0002311735129151309,0.009533167667307507
entity_PJM,0.018527950970939382,0.0012055240995475836,9.694165114667973e-05,0.00899984999473723
region_NYISO,0.004068384061791635,0.001465258416368098,0.0001258890949858663,0.00644781993587781
entity_NYISO,0.011702330273842128,0.0003955215430308745,0.00010887045572643922,0.0056975706980151915
